City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-01-01,,,0.92,18.22,17.15,,0.92,27.64,133.36,0.0,0.02,0.0,,
Ahmedabad,2015-01-02,,,0.97,15.69,16.46,,0.97,24.55,34.06,3.68,5.5,3.77,,
Ahmedabad,2015-01-03,,,17.4,19.3,29.7,,17.4,29.07,30.7,6.8,16.4,2.25,,
Ahmedabad,2015-01-04,,,1.7,18.48,17.97,,1.7,18.59,36.08,4.43,10.14,1.0,,
Ahmedabad,2015-01-05,,,22.1,21.42,37.76,,22.1,39.33,39.31,7.01,18.89,2.78,,
Ahmedabad,2015-01-06,,,45.41,38.48,81.5,,45.41,45.76,46.51,5.42,10.83,1.93,,
Ahmedabad,2015-01-07,,,112.16,40.62,130.77,,112.16,32.28,33.47,0.0,0.0,0.0,,
Ahmedabad,2015-01-08,,,80.87,36.74,96.75,,80.87,38.54,31.89,0.0,0.0,0.0,,
Ahmedabad,2015-01-09,,,29.16,31.0,48.0,,29.16,58.68,25.75,0.0,0.0,0.0,,
Ahmedabad,2015-01-10,,,,7.04,0.0,,,8.29,4.55,0.0,0.0,0.0,,
Ahmedabad,2015-01-11,,,132.07,55.8,24.53,,132.07,25.03,6.79,0.0,0.0,0.0,,
Ahmedabad,2015-01-12,,,52.04,40.67,90.24,,52.04,51.84,45.89,2.41,0.03,7.88,,
Ahmedabad,2015-01-13,,,48.82,44.2,87.09,,48.82,68.21,35.16,9.45,13.35,12.5,,
Ahmedabad,2015-01-14,,,19.2,27.86,33.05,,19.2,52.65,20.96,2.16,2.26,5.19,,
Ahmedabad,2015-01-15,,,0.6,16.96,16.6,,0.6,28.89,47.63,0.14,0.04,1.35,,
Ahmedabad,2015-01-16,,,1.63,21.72,22.86,,1.63,38.27,46.03,0.35,0.05,2.01,,
Ahmedabad,2015-01-17,,,11.44,24.73,34.75,,11.44,49.5,52.24,0.68,0.0,3.27,,
Ahmedabad,2015-01-18,,,6.1,25.77,29.57,,6.1,48.43,53.49,0.74,0.21,2.75,,
Ahmedabad,2015-01-19,,,2.51,26.88,27.45,,2.51,50.03,49.48,0.26,0.02,2.8,,
Ahmedabad,2015-01-20,,,7.92,26.8,32.4,,7.92,58.87,56.37,0.24,0.01,3.97,,
Ahmedabad,2015-01-21,,,9.52,33.56,39.28,,9.52,106.93,48.75,0.33,0.0,5.65,,
Ahmedabad,2015-01-22,,,9.05,17.51,22.33,,9.05,23.71,42.22,0.0,0.0,4.51,,
Ahmedabad,2015-01-23,,,22.53,27.96,47.79,,22.53,39.19,32.92,0.39,0.0,5.95,,
Ahmedabad,2015-01-24,,,2.03,20.39,21.4,,2.03,40.07,32.49,0.47,0.7,1.54,,
Ahmedabad,2015-01-25,,,1.42,20.43,20.19,,1.42,58.41,39.26,0.01,0.0,0.94,,
Ahmedabad,2015-01-26,,,2.27,21.16,21.81,,2.27,43.73,39.83,0.06,0.0,1.55,,
Ahmedabad,2015-01-27,,,2.19,21.7,23.26,,2.19,43.28,41.1,0.02,0.0,1.65,,
Ahmedabad,2015-01-28,73.24,,5.72,21.11,25.84,,5.72,36.52,62.42,0.03,0.01,1.41,,
Ahmedabad,2015-01-29,83.13,,6.93,28.71,33.72,,6.93,49.52,59.76,0.02,0.0,3.14,209.0,Poor
Ahmedabad,2015-01-30,79.84,,13.85,28.68,41.08,,13.85,48.49,97.07,0.04,0.0,4.81,328.0,Very Poor
Ahmedabad,2015-01-31,94.52,,24.39,32.66,52.61,,24.39,67.39,111.33,0.24,0.01,7.67,514.0,Severe
Ahmedabad,2015-02-01,135.99,,43.48,42.08,84.57,,43.48,75.23,102.7,0.4,0.04,25.87,782.0,Severe
Ahmedabad,2015-02-02,178.33,,54.56,35.31,72.8,,54.56,55.04,107.38,0.46,0.06,35.61,914.0,Severe
Ahmedabad,2015-02-03,139.7,,30.61,28.4,56.73,,30.61,33.79,73.6,0.17,0.03,11.87,660.0,Severe
Ahmedabad,2015-02-04,80.65,,2.37,22.83,24.0,,2.37,25.73,47.3,0.0,0.0,0.0,294.0,Poor
Ahmedabad,2015-02-05,58.36,,2.6,21.39,23.31,,2.6,32.66,53.54,0.0,0.0,0.0,149.0,Moderate
Ahmedabad,2015-02-06,79.29,,1.16,26.94,26.83,,1.16,67.41,59.3,0.0,0.0,0.0,190.0,Moderate
Ahmedabad,2015-02-07,88.7,,7.29,31.32,37.73,,7.29,80.09,44.76,0.0,0.0,0.0,247.0,Poor
Ahmedabad,2015-02-08,74.28,,8.92,27.3,33.42,,8.92,54.28,47.42,0.0,0.0,0.27,379.0,Very Poor
Ahmedabad,2015-02-09,113.93,,4.32,24.27,26.86,,4.32,48.73,39.94,0.02,0.0,3.55,341.0,Very Poor
Ahmedabad,2015-02-10,105.39,,1.41,18.21,18.75,,1.41,35.91,56.15,0.0,0.0,3.31,256.0,Poor
Ahmedabad,2015-02-11,66.52,,6.34,23.8,28.24,,6.34,66.58,53.14,9.7,9.63,16.49,388.0,Very Poor
Ahmedabad,2015-02-12,65.04,,14.19,30.1,44.21,,14.19,65.91,31.88,7.72,17.46,2.51,288.0,Poor
Ahmedabad,2015-02-13,103.36,,18.18,39.56,57.33,,18.18,80.43,40.11,11.29,24.35,3.35,510.0,Severe
Ahmedabad,2015-02-14,177.33,,37.49,47.58,77.85,,37.49,99.72,36.47,17.0,52.66,6.98,761.0,Severe
Ahmedabad,2015-02-15,113.25,,15.55,30.5,44.87,,15.55,69.71,33.78,10.47,28.53,3.22,475.0,Severe
Ahmedabad,2015-02-16,99.7,,19.85,28.1,47.31,,19.85,73.23,30.57,10.28,31.25,4.0,536.0,Severe
Ahmedabad,2015-02-17,80.61,,15.96,21.04,35.67,,15.96,54.7,36.2,8.14,18.75,2.52,479.0,Severe
Ahmedabad,2015-02-18,100.79,,16.24,25.93,41.91,,16.24,43.11,37.43,10.0,32.41,4.04,592.0,Severe
Ahmedabad,2015-02-19,107.99,,11.25,30.09,40.47,,11.25,84.86,31.94,9.2,24.03,3.25,427.0,Severe
Ahmedabad,2015-02-20,140.29,,33.84,36.14,68.85,,33.84,101.53,40.98,20.12,43.51,7.48,588.0,Severe
Ahmedabad,2015-02-21,239.96,,61.95,46.25,106.92,,61.95,84.87,33.55,22.14,53.98,15.44,1141.0,Severe
Ahmedabad,2015-02-22,142.96,,45.45,48.21,92.32,,45.45,62.96,34.77,7.35,22.4,8.47,669.0,Severe
Ahmedabad,2015-02-23,238.41,,77.7,55.07,131.32,,77.7,89.07,37.3,50.61,163.64,28.46,1247.0,Severe
Ahmedabad,2015-02-24,118.72,,12.56,32.01,42.56,,12.56,61.54,38.8,16.89,46.52,6.05,411.0,Severe
Ahmedabad,2015-02-25,52.99,,2.23,10.45,10.39,,2.23,32.76,67.25,3.85,11.39,0.81,292.0,Poor
Ahmedabad,2015-02-26,,,,,,,,,,,,,,
Ahmedabad,2015-02-27,,,,,,,,,,,,,,
Ahmedabad,2015-02-28,,,,,,,,,,,,,,
Ahmedabad,2015-03-01,61.12,,3.58,16.81,20.92,,3.58,28.44,30.48,2.69,1.58,1.32,,
Ahmedabad,2015-03-02,60.78,,9.07,18.21,27.34,,9.07,29.48,34.75,2.05,0.55,0.22,189.0,Moderate
Ahmedabad,2015-03-03,91.83,,12.99,28.71,40.76,,12.99,39.71,38.46,2.69,1.74,2.25,408.0,Severe
Ahmedabad,2015-03-04,93.88,,18.21,29.38,47.01,,18.21,62.75,46.79,5.21,2.55,1.55,383.0,Very Poor
Ahmedabad,2015-03-05,173.01,,48.44,42.27,90.73,,48.44,78.76,59.39,9.72,9.96,4.13,780.0,Severe
Ahmedabad,2015-03-06,,,,,,,,,,,,,,
Ahmedabad,2015-03-07,105.45,,2.5,16.1,18.66,,2.5,29.29,69.9,17.77,5.75,0.39,,
Ahmedabad,2015-03-08,71.56,,3.51,16.83,20.32,,3.51,30.28,57.16,3.95,8.01,0.63,190.0,Moderate
Ahmedabad,2015-03-09,119.8,,4.13,24.07,27.9,,4.13,50.35,50.49,4.85,12.15,1.35,233.0,Poor
Ahmedabad,2015-03-10,106.71,,5.39,25.59,30.51,,5.39,38.85,60.17,5.58,14.17,1.74,297.0,Poor
Ahmedabad,2015-03-11,118.49,,4.11,28.94,31.83,,4.11,54.2,53.61,7.9,21.32,2.78,330.0,Very Poor
Ahmedabad,2015-03-12,106.01,,4.28,27.31,30.54,,4.28,70.29,40.91,9.45,15.54,1.71,252.0,Poor
Ahmedabad,2015-03-13,97.34,,3.67,21.58,24.62,,3.67,64.39,45.69,5.61,15.02,2.25,244.0,Poor
Ahmedabad,2015-03-14,83.92,,6.42,25.03,30.8,,6.42,67.53,34.94,8.24,21.47,3.09,234.0,Poor
Ahmedabad,2015-03-15,49.51,,3.1,14.16,16.15,,3.1,48.33,37.95,4.34,11.34,1.09,219.0,Poor
Ahmedabad,2015-03-16,30.76,,2.72,14.14,16.98,,2.72,43.62,54.78,3.58,9.38,0.84,118.0,Moderate
Ahmedabad,2015-03-17,50.29,,5.34,29.84,33.28,,5.34,59.23,45.44,5.45,15.12,1.65,231.0,Poor
Ahmedabad,2015-03-18,57.69,,25.36,29.48,54.79,,25.36,58.33,52.87,9.55,32.11,4.53,286.0,Poor
